iter	Logloss
0	0.6792489577
1	0.6623723359
2	0.6496256158
3	0.6323183966
4	0.6198460472
5	0.607959293
6	0.6010704621
7	0.5901041004
8	0.5781813755
9	0.5724013039
10	0.5633755368
11	0.5533664143
12	0.5439554822
13	0.5381719514
14	0.5328735441
15	0.5278140768
16	0.5218118319
17	0.5138091854
18	0.5086335364
19	0.5038430447
20	0.4972081244
21	0.4904157061
22	0.4866571095
23	0.477201816
24	0.4716956388
25	0.4682342263
26	0.4636492462
27	0.4602076389
28	0.4538841907
29	0.4487569532
30	0.4428122964
31	0.4356090408
32	0.4301774325
33	0.4255057169
34	0.4219173694
35	0.4176678335
36	0.41287538
37	0.408913293
38	0.4057369425
39	0.4018186726
40	0.3972733146
41	0.3952810458
42	0.3907620885
43	0.3876813227
44	0.3824758798
45	0.3786259355
46	0.3742707111
47	0.3709386462
48	0.3690287849
49	0.3658075881
50	0.3615986644
51	0.3579111822
52	0.3536847222
53	0.3494954389
54	0.3463219178
55	0.3434402485
56	0.3392136671
57	0.337300375
58	0.3353802352
59	0.3329527843
60	0.3320363371
61	0.3295180643
62	0.3272613854
63	0.324813628
64	0.321386319
65	0.3193109164
66	0.3156447874
67	0.312795137
68	0.3093357618
69	0.3081276701
70	0.3059468022
71	0.3039238644
72	0.3024397398
73	0.2996266219
74	0.2965957507
75	0.2934049752
76	0.2918129283
77	0.2900347921
78	0.2869890647
79	0.2846164573
80	0.2833340284
81	0.2813720294
82	0.2792175051
83	0.2768978247
84	0.2742430149
85	0.27151572
86	0.2680590012
87	0.2664910714
88	0.2653375401
89	0.263347853
90	0.261264047
91	0.2594423447
92	0.2578474961
93	0.2551467816
94	0.2526079736
95	0.2505581782
96	0.2492127969
97	0.2467868187
98	0.2455244593
99	0.2443698788
100	0.241095325
101	0.2389169588
102	0.2374254896
103	0.2351659997
104	0.2326035155
105	0.2314419148
106	0.228616359
107	0.2261677351
108	0.2246666559
109	0.2232748009
110	0.2219518634
111	0.2198908026
112	0.2183348973
113	0.2164381253
114	0.2142160099
115	0.2129034064
116	0.2113501808
117	0.2096921577
118	0.2065276184
119	0.2042959265
120	0.202502173
121	0.2003633945
122	0.1982650993
123	0.1954775392
124	0.1945588927
125	0.1928297906
126	0.1912318798
127	0.1893974446
128	0.18737815
129	0.185941282
130	0.1836993482
131	0.1825282492
132	0.1812253802
133	0.1783255579
134	0.1770901858
135	0.1752152532
136	0.1732132977
137	0.1718638705
138	0.1703791246
139	0.1686902528
140	0.166733203
141	0.1652828863
142	0.1629720566
143	0.161926491
144	0.1604100186
145	0.1591573333
146	0.1567757816
147	0.1546420167
148	0.1542898312
149	0.1521173213
150	0.1507139625
151	0.1483696556
152	0.147166998
153	0.1454788617
154	0.1439892428
155	0.1419449429
156	0.1410293873
157	0.1392215226
