iter	Passed	Remaining
401	17574	26143
402	17615	26095
403	17656	26048
404	17725	26040
405	17826	26081
406	17902	26084
407	17958	26057
408	18018	26036
409	18075	26011
410	18123	25972
411	18167	25927
412	18210	25882
413	18253	25836
414	18295	25790
415	18339	25745
416	18379	25696
417	18422	25650
418	18464	25603
419	18505	25555
420	18547	25508
421	18590	25463
422	18638	25424
423	18681	25379
424	18725	25334
425	18769	25290
426	18811	25243
427	18853	25196
428	18899	25154
429	18941	25109
430	18985	25064
431	19033	25025
432	19072	24975
433	19115	24929
434	19158	24884
435	19199	24836
436	19239	24787
437	19281	24740
438	19322	24691
439	19365	24647
440	19408	24601
441	19450	24555
442	19490	24505
443	19534	24462
444	19574	24413
445	19616	24367
446	19660	24322
447	19702	24276
448	19742	24227
449	19790	24188
450	19838	24148
451	19882	24104
452	19926	24061
453	19967	24013
454	20007	23964
455	20047	23916
456	20089	23870
457	20131	23823
458	20171	23775
459	20213	23728
460	20257	23685
461	20300	23640
462	20342	23594
463	20386	23550
464	20426	23501
465	20469	23456
466	20513	23412
467	20555	23366
468	20597	23320
469	20641	23276
470	20683	23230
471	20726	23186
472	20771	23142
473	20813	23096
474	20857	23052
475	20900	23007
476	20943	22962
477	20983	22914
478	21024	22868
479	21068	22823
480	21116	22784
481	21156	22736
482	21200	22693
483	21261	22666
484	21315	22633
485	21375	22606
486	21439	22584
487	21499	22556
488	21563	22533
489	21615	22497
490	21901	22704
491	21953	22667
492	22003	22628
493	22053	22589
494	22097	22543
495	22139	22496
496	22182	22449
497	22231	22410
498	22275	22365
499	22317	22317
500	22360	22270
501	22401	22223
502	22441	22174
503	22482	22125
504	22526	22080
505	22565	22030
506	22608	21984
507	22649	21936
508	22696	21893
509	22738	21846
510	22806	21824
511	22868	21796
512	22932	21770
513	23065	21808
514	23135	21788
515	23197	21758
516	23241	21712
517	23284	21666
518	23325	21617
519	23367	21570
520	23405	21518
521	23449	21472
522	23493	21426
523	23533	21377
524	23575	21330
525	23616	21281
526	23659	21235
527	23705	21191
528	23747	21143
529	23789	21096
530	23829	21047
531	23872	21000
532	23915	20954
533	23962	20910
534	24003	20862
535	24046	20816
536	24090	20770
537	24132	20723
538	24174	20676
539	24217	20629
540	24258	20581
541	24304	20538
542	24349	20493
543	24393	20447
544	24435	20399
545	24473	20349
546	24516	20303
547	24566	20262
548	24609	20216
549	24651	20169
550	24692	20121
551	24735	20074
552	24780	20030
553	24823	19984
554	24866	19937
555	24911	19893
556	24954	19846
557	24998	19801
558	25039	19753
559	25087	19711
560	25131	19666
561	25174	19620
562	25218	19574
563	25262	19529
564	25303	19481
565	25348	19436
566	25391	19390
567	25434	19344
568	25482	19301
569	25527	19257
570	25571	19212
571	25622	19171
572	25664	19125
573	25707	19079
574	25749	19032
575	25789	18984
576	25834	18939
577	25876	18892
578	25924	18850
579	25965	18802
580	26006	18755
581	26050	18710
582	26092	18662
583	26134	18616
584	26176	18569
585	26222	18525
586	26262	18477
587	26304	18430
588	26345	18384
589	26384	18334
590	26427	18289
591	26465	18239
592	26507	18192
593	26548	18146
594	26592	18100
595	26632	18053
596	26676	18007
597	26716	17959
598	26756	17911
599	26800	17867
600	26840	17819
601	26881	17771
602	26921	17724
603	26963	17678
604	27006	17632
605	27051	17588
606	27093	17541
607	27137	17496
608	27180	17451
609	27222	17404
610	27266	17359
611	27308	17313
612	27349	17266
613	27393	17221
614	27434	17174
615	27474	17126
616	27513	17078
617	27551	17030
618	27592	16983
619	27632	16936
620	27673	16889
621	27715	16843
622	27755	16795
623	27794	16747
624	27833	16700
625	27878	16656
626	27920	16610
627	27958	16561
628	28001	16515
629	28040	16468
630	28085	16424
631	28130	16379
632	28173	16334
633	28216	16288
634	28259	16243
635	28303	16198
636	28346	16153
637	28387	16107
638	28434	16064
639	28477	16018
640	28521	15973
641	28563	15927
642	28607	15883
643	28647	15835
644	28690	15790
645	28729	15743
646	28770	15696
647	28812	15651
648	28854	15605
649	28898	15560
650	28942	15516
651	28986	15471
652	29029	15425
653	29071	15380
654	29117	15336
655	29160	15291
656	29202	15245
657	29244	15200
658	29284	15153
659	29328	15108
660	29369	15062
661	29416	15019
662	29460	14974
663	29500	14927
664	29542	14882
665	29586	14837
666	29629	14792
667	29667	14745
668	29710	14699
669	29753	14654
670	29794	14608
671	29831	14560
672	29870	14513
673	29910	14466
674	29950	14420
675	29989	14373
676	30032	14328
677	30076	14284
678	30119	14239
679	30158	14192
680	30202	14147
681	30244	14102
682	30284	14056
683	30328	14011
684	30369	13965
685	30409	13919
686	30449	13872
687	30491	13827
688	30532	13781
689	30580	13738
690	30617	13691
691	30660	13646
692	30701	13600
693	30745	13556
694	30789	13512
695	30829	13465
696	30870	13419
697	30910	13373
698	30948	13326
699	30989	13281
700	31032	13236
701	31075	13191
702	31121	13147
703	31167	13104
704	31205	13057
705	31250	13013
706	31291	12967
707	31332	12922
708	31375	12877
709	31417	12832
710	31457	12786
711	31502	12742
712	31542	12696
713	31584	12651
714	31624	12605
715	31669	12561
716	31712	12517
717	31756	12472
718	31799	12427
719	31840	12382
720	31884	12338
721	31927	12293
722	31968	12248
723	32014	12204
724	32055	12159
725	32098	12114
726	32139	12068
727	32182	12024
728	32228	11980
729	32273	11936
730	32315	11891
731	32361	11848
732	32402	11802
733	32446	11758
734	32492	11715
735	32536	11670
736	32577	11625
737	32620	11580
738	32660	11535
739	32705	11490
740	32755	11448
741	32803	11405
742	32847	11361
743	32891	11317
744	32932	11272
745	32976	11227
746	33018	11182
747	33065	11139
748	33105	11094
749	33149	11049
750	33199	11007
751	33244	10963
752	33289	10919
753	33331	10874
754	33387	10834
755	33429	10789
756	33471	10744
757	33524	10702
758	33568	10658
759	33609	10613
760	33651	10568
761	33693	10523
762	33737	10479
763	33781	10435
764	33824	10390
765	33863	10344
766	33904	10299
767	33946	10254
768	33984	10208
769	34030	10165
770	34079	10122
771	34126	10078
772	34169	10034
773	34215	9990
774	34256	9945
775	34311	9904
776	34387	9869
777	34428	9823
778	34474	9780
779	34524	9737
780	34567	9693
781	34612	9648
782	34658	9605
783	34709	9562
784	34752	9518
